iri,label,skosPrefLabel,Name,wikidataTypeLabel,wikidataSubClassLabel
http://www.wikidata.org/entity/Q74769663,"ClC-2 in guinea pig colon: mRNA, immunolabeling, and functional evidence for surface epithelium localization","ClC-2 in guinea pig colon: mRNA, immunolabeling, and functional evidence for surface epithelium localization","ClC-2 in guinea pig colon: mRNA, immunolabeling, and functional evidence for surface epithelium localization",,
http://www.wikidata.org/entity/Q74769663,"ClC-2 in guinea pig colon: mRNA, immunolabeling, and functional evidence for surface epithelium localization","ClC-2 in guinea pig colon: mRNA, immunolabeling, and functional evidence for surface epithelium localization","ClC-2 in guinea pig colon: mRNA, immunolabeling, and functional evidence for surface epithelium localization",,
http://www.wikidata.org/entity/Q70226352,Lessons learned about the determinants of the results of valve surgery,Lessons learned about the determinants of the results of valve surgery,Lessons learned about the determinants of the results of valve surgery,,
http://www.wikidata.org/entity/Q70226352,Lessons learned about the determinants of the results of valve surgery,Lessons learned about the determinants of the results of valve surgery,Lessons learned about the determinants of the results of valve surgery,,
http://www.wikidata.org/entity/Q20638428,,,,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q13818482,Mastonia lusoria,Mastonia lusoria,Mastonia lusoria,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
http://www.wikidata.org/entity/Q15043052,Szelepcsényi,Szelepcsényi,Szelepcsényi,,
