iri,label,typeLabel,country
http://www.wikidata.org/entity/Q4152,Neuschwanstein Castle,museum | castle | château | tourist attraction | palace,Germany
http://www.wikidata.org/entity/Q12874774,Castle of Didymoteicho,castle | military base,Greece
http://www.wikidata.org/entity/Q56661889,Dirlot Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q47519892,Castle of Mejorada,castle,Spain
http://www.wikidata.org/entity/Q5050056,Castle Donovan,castle,Ireland
http://www.wikidata.org/entity/Q1011991,Burg Godramstein,castle,Germany
http://www.wikidata.org/entity/Q6759117,Margaret's Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q2970960,Château de Versainville,castle,France
http://www.wikidata.org/entity/Q24661490,Millend Farm Enclosure,castle,United Kingdom
http://www.wikidata.org/entity/Q156457,Hohenzollern Castle,museum | castle,Germany
http://www.wikidata.org/entity/Q1964047,Orford Castle,castle | historic house museum | archaeological site,United Kingdom
http://www.wikidata.org/entity/Q105962668,castle of Villa Postignano,castle,Italy
http://www.wikidata.org/entity/Q113366747,Upper castle,castle,Italy
http://www.wikidata.org/entity/Q2969310,Château de Gençay,castle,France
http://www.wikidata.org/entity/Q1012246,Burg Heid,castle,Germany
http://www.wikidata.org/entity/Q2969395,Château de Hellering,castle,France
http://www.wikidata.org/entity/Q2969359,Château de Gros-Chigy,castle,France
http://www.wikidata.org/entity/Q21077206,Castell d'Agramunt,castle,Spain
http://www.wikidata.org/entity/Q20985596,Castell i muralla d'Horta de Sant Joan,castle | city walls,Spain
http://www.wikidata.org/entity/Q113367339,Caccia Castle,castle,Italy
http://www.wikidata.org/entity/Q5926190,Gachi Castle,castle,Iran
http://www.wikidata.org/entity/Q28220752,Softa Castle,castle | archaeological site,Turkey
http://www.wikidata.org/entity/Q97630377,Castillo,monument | castle,Spain
http://www.wikidata.org/entity/Q112657394,Castillo de Otero de Curueño,castle,Spain
http://www.wikidata.org/entity/Q25423190,Castell i vila de Moror,castle,Spain
http://www.wikidata.org/entity/Q113290252,castello di Sant'Agapito,castle,Italy
http://www.wikidata.org/entity/Q83719659,Château fort de Vienne le château,castle,France
http://www.wikidata.org/entity/Q113050292,Castle,castle,Italy
http://www.wikidata.org/entity/Q1013596,Burg Rauschenberg,castle,Germany
http://www.wikidata.org/entity/Q1012816,Burg Landeck,castle,Germany
http://www.wikidata.org/entity/Q3662938,Castello di Valdengo,castle,Italy
http://www.wikidata.org/entity/Q41407027,Altes Schloss,castle,Germany
http://www.wikidata.org/entity/Q5049844,Castle of Vila Verde dos Francos,castle | cultural heritage,Portugal
http://www.wikidata.org/entity/Q113577913,Castello di Montacuto,castle,Italy
http://www.wikidata.org/entity/Q111207976,Rochefort-sur-Brévon Castle,castle,France
http://www.wikidata.org/entity/Q11855090,Castell de Sant Mori,castle,Spain
http://www.wikidata.org/entity/Q20595625,Fforest Castle,castle | motte,United Kingdom
http://www.wikidata.org/entity/Q3662723,Castello di Monte Orlando,castle,Italy
http://www.wikidata.org/entity/Q17596503,Castell de Pinyana,castle,Spain
http://www.wikidata.org/entity/Q2970884,Château de Vallabrix,castle,France
http://www.wikidata.org/entity/Q113441406,Castello Marchesale,castle,Italy
http://www.wikidata.org/entity/Q1010752,Altenstein Castle,castle | ruins | archaeological site,Germany
http://www.wikidata.org/entity/Q106086920,Castello di Torrano,castle,Italy
http://www.wikidata.org/entity/Q16619009,Leśnica Castle,castle,Poland
http://www.wikidata.org/entity/Q15055364,Colombaia Castle,castle,Italy
http://www.wikidata.org/entity/Q5049813,Castle of Penas Róias,castle | cultural heritage,Portugal
http://www.wikidata.org/entity/Q4938906,Bolaman Castle,castle | ethnographic museum,Turkey
http://www.wikidata.org/entity/Q13126893,Castell Cwmere,castle | promontory fort,United Kingdom
http://www.wikidata.org/entity/Q1014339,Burg Untermettingen,castle,Germany
http://www.wikidata.org/entity/Q106081548,Resti della rocca e delle mura,castle,Italy
